,Рентабельность продаж,Рентабельность активов (ROA),Рентабельность капитала (ROE)
1120,,,
1121,0.235,0.7633,2.1393
1122,,,
1123,,,
1124,,,
1125,,,
1126,,,
1127,0.0282,,0.003
1128,,,
1129,0.0107,0.0081,-0.0244
1130,,,
1131,,,
1132,,,
1133,,-0.0882,1.7657
1134,,,
1135,0.593,0.3227,-10.7264
1136,,,
1137,,,
1138,,,
1139,0.0782,0.0076,0.0215
1140,,,
1141,,,
1142,,,
1143,,,
1144,,,
1145,,,
1146,0.0784,0.1198,0.2674
1147,,,
1148,,,
1149,,,
1150,,,
1151,,,
1152,,,
1153,,,
1154,0.0395,0.0085,0.1127
1155,,,
1156,0.0294,0.0199,-0.1655
1157,0.0479,0.0291,1.9791
1158,,,
1159,,,
1160,,,
1161,,,
1162,,,
1163,,,
1164,,,
1165,,,
1166,0.0157,0.0396,0.5023
1167,,,
1168,,,
1169,,,
1170,-0.1385,0.134,-1.7375
1171,,,
1172,,,
1173,0.2309,0.0208,0.0366
1174,,,
1175,,,
1176,,,
1177,,,
1178,,,
1179,,,
1180,,,
1181,,,
1182,,,
1183,,,
1184,-0.2719,-0.1299,-1.3461
1185,,,
1186,,,
1187,0.0132,0.1405,0.5709
1188,,,
1189,,,
1190,,,
1191,,,
1192,,,
1193,,,
1194,,,
1195,,,
1196,,-17.4615,1.8683
1197,,,
1198,,,
1199,-0.0488,-0.4905,-1.31
1200,,,
1201,,,
1202,,,
1203,,,
1204,,,
1205,,,
1206,,,
1207,,,
1208,,,
1209,0.1891,0.0901,0.5208
1210,,,
1211,,,
1212,0.0259,0.8056,1.9333
1213,,,
1214,,,
1215,,,
1216,,,
1217,,,
1218,,-0.0413,2.2222
1219,,,
1220,,,
1221,0.0076,0.0168,0.4768
1222,,,
1223,,,
1224,0.0383,0.0037,0.0073
1225,,,
1226,,,
1227,,,
1228,,,
1229,,,
1230,,,
1231,,,
1232,,,
1233,0.0323,0.0634,1.3623
1234,,,
1235,,,
1236,0.1142,0.1162,1.8148
1237,0.0728,0.0574,0.0782
1238,,,
1239,,,
1240,0.0169,0.003,0.2329
1241,,,
1242,-1.4193,-0.0737,2.6211
1243,,,
1244,,,
1245,,,
1246,,,
1247,,,
1248,,,
1249,,,
1250,,,
1251,,,
1252,,,
1253,,,
1254,0.4943,-0.0817,-0.0883
1255,,,
1256,,,
1257,,,
1258,,,
1259,0.067,0.0046,0.0186
1260,,,
1261,,,
1262,,,
1263,,,
1264,,,
1265,,,
1266,,,
1267,,,
1268,0.0162,0.039,1.2534
1269,,,
1270,,,
1271,,,
1272,0.0283,-0.2145,0.4687
1273,,,
1274,,,
1275,,,
1276,0.0649,0.0753,0.2252
1277,0.0259,0.0273,0.0888
1278,,,
1279,,,
1280,0.0014,0.0026,0.1273
1281,,,
1282,-0.2238,0.007,0.0714
1283,,,
1284,-0.0543,-0.0622,-0.0663
1285,,,
1286,,,
1287,,,
1288,,,
1289,,,
1290,,,
1291,,,
1292,,,
1293,,,
1294,-1.736,-0.0033,0.6781
1295,,,
1296,,,
1297,,,
1298,-0.027,-17.7753,1.8901
1299,0.0282,0.0002,0.0005
1300,,,
1301,0.04,0.0146,0.0366
1302,,,
1303,,,
1304,,,
1305,0.0057,0.002,0.4515
1306,0.0593,0.4668,1.34
1307,,,
1308,,,
1309,,,
1310,,,
1311,,,
1312,,,
1313,,,
1314,,,
1315,,,
1316,,,
1317,,,
1318,,,
1319,-0.1382,-0.1352,2.7468
1320,,,
1321,,,
1322,,,
1323,,,
1324,,,
1325,,,
1326,0.2869,0.1458,0.4353
1327,,,
1328,,,
1329,,0.4488,1.62
1330,,,
1331,0.2,0.1633,0.8421
1332,,,
1333,,,
1334,,,
1335,,,
1336,,,
1337,,,
1338,,,
1339,,,
1340,0.0502,0.0066,0.0469
1341,,,
1342,,,
1343,,,
1344,,,
1345,,,
1346,,,
1347,,,
1348,,,
1349,,,
1350,-0.1623,-0.2101,-0.4924
1351,,,
1352,0.006,0.0387,0.1477
1353,0.3583,0.1269,0.1584
1354,,,
1355,,,
1356,,,
1357,,,
1358,,,
1359,,,
1360,0.019,0.0651,0.209
1361,,,
1362,,,
1363,,,
1364,,,
1365,,,
1366,,,
1367,,,
1368,,,
1369,,,
1370,,,
1371,,,
1372,0.0194,0.004,0.0095
1373,,,
1374,,,
1375,,,
1376,,,
1377,,,
1378,0.1403,0.0038,0.3238
1379,,,
1380,,,
1381,,,
1382,,,
1383,,,
