,Рентабельность продаж,Рентабельность активов (ROA),Рентабельность капитала (ROE)
93559,,,
93560,,,
93561,,,
93562,,,
93563,,,
93564,,,
93565,0.1068,0.0247,14.0
93566,,,
93567,,,
93568,,,
93569,,,
93570,,,
93571,0.025,0.0021,0.0033
93572,,-0.0001,-0.0004
93573,-0.4637,-0.9883,1.0293
93574,,,
93575,,,
93576,,,
93577,,,
93578,0.0632,0.1103,2.0
93579,,,
93580,,,
93581,0.1815,1.09,1.3052
93582,,,
93583,,,
93584,,,
93585,,,
93586,,,
93587,-1.7261,-0.834,1.7445
93588,,,
93589,,,
93590,,,
93591,,,
93592,,,
93593,,,
93594,,,
93595,,,
93596,,,
93597,,,
93598,,,
93599,,,
93600,,,
93601,,,
93602,,,
93603,,,
93604,0.2209,0.423,0.6868
93605,,,
93606,,,
93607,,,
93608,0.1074,1.3959,1.6836
93609,0.0498,0.0333,1.5385
93610,,,
93611,,,
93612,0.0262,0.0364,0.0378
93613,,,
93614,,,
93615,,,
93616,0.6512,1.711,3.5468
93617,0.1455,0.1213,1.2544
93618,0.1943,0.705,1.8774
93619,,,
93620,,,
93621,0.2068,1.0136,1.3453
93622,,,
93623,0.0985,1.0953,2.5135
93624,,,
93625,,,
93626,,,
93627,,,
93628,,,
93629,,0.413,-0.0167
93630,,,
93631,,,
93632,,,
93633,,,
93634,,,
93635,,,
93636,,,
93637,,,
93638,,,
93639,,,
93640,,,
93641,,,
93642,0.4233,2.0483,4.1848
93643,,,
93644,,,
93645,,,
93646,0.2261,1.5504,2.8888
93647,,,
93648,,,
93649,,,
93650,,,
93651,,,
93652,,,
93653,,,
93654,,,
93655,,-0.0009,-0.0086
93656,,,
93657,0.0267,0.0012,0.0392
93658,,,
93659,0.0433,0.0409,2.1569
93660,,,
93661,,,
93662,,,
93663,,,
93664,,,
93665,,,
93666,,,
93667,,,
93668,0.2514,0.1358,0.1547
93669,,,
93670,,,
93671,,,
93672,,,
93673,0.033,0.0036,0.7586
93674,,,
93675,,,
93676,0.072,0.6718,0.7425
93677,,,
93678,,,
93679,,,
93680,,,
93681,,,
93682,,,
93683,,,
93684,,,
93685,,,
93686,0.1729,1.3319,1.8907
93687,0.1355,0.645,0.7799
93688,,,
93689,,,
93690,,,
93691,,,
93692,,,
93693,,,
93694,,,
93695,,,
93696,,,
93697,0.07,0.0604,0.1688
93698,0.1411,3.4239,-1.4628
93699,,,
93700,,,
93701,,,
93702,,,
93703,,,
93704,-0.0069,-0.0398,1.4042
93705,,,
93706,,,
93707,0.0243,1.7238,1.9014
93708,,,
93709,,,
93710,,,
93711,,,
93712,,,
93713,0.1061,0.0401,0.1212
93714,,,
93715,,,
93716,,,
93717,,,
93718,,,
93719,,,
93720,0.2285,0.7098,1.7845
93721,,,
93722,0.2735,0.2551,0.2662
93723,,,
93724,,,
93725,,,
93726,,,
93727,,-0.1057,-0.1471
93728,,,
93729,,,
93730,,,
93731,0.2236,1.3149,2.4144
93732,,,
93733,,,
93734,,,
93735,,,
93736,,,
93737,,,
93738,,,
93739,,,
93740,,,
93741,,,
93742,,,
93743,,,
93744,,,
93745,,,
93746,,-0.2746,0.1206
93747,,,
93748,,,
93749,,,
93750,,,
93751,0.048,0.0154,2.8723
93752,,,
93753,,,
93754,,,
93755,0.1498,0.3215,0.3838
93756,0.0134,0.0002,0.0002
93757,,,
93758,0.1514,0.0296,0.0321
93759,,,
93760,0.0671,0.0075,0.0336
93761,-0.0572,-0.356,-2.0676
93762,,,
93763,,,
93764,,-1.3455,0.0164
93765,,,
93766,,-0.6566,0.1202
93767,,,
93768,,,
93769,0.0184,0.0165,0.8804
93770,,,
93771,,,
93772,,,
93773,,,
93774,,,
93775,,,
93776,,,
93777,0.0495,0.0076,1.6301
93778,,,
93779,,,
93780,,,
93781,,,
93782,0.3886,0.9758,1.0067
93783,,,
93784,,,
93785,,,
93786,,,
93787,,,
93788,,,
93789,,,
93790,-0.1163,-0.0704,2.0939
93791,0.0332,0.1969,0.6566
93792,0.0706,0.0354,0.2478
93793,,,
93794,,,
93795,0.2592,0.9075,0.9647
93796,,,
93797,,,
93798,,,
93799,-0.3089,-0.9466,1.5885
93800,,,
93801,,,
93802,,,
93803,,,
93804,,,
93805,,,
93806,,,
93807,,-0.7444,-0.8712
93808,,,
93809,1.0,26.2827,300.5727
93810,0.087,0.6127,1.0139
93811,,,
93812,,,
93813,-0.0517,0.0201,0.024
93814,,,
93815,,,
93816,,,
93817,,,
93818,,,
93819,,,
93820,,,
93821,,,
93822,0.1001,1.3934,1.461
93823,,,
93824,0.0892,0.0257,0.0346
93825,,,
93826,,,
93827,,,
93828,,,
93829,,,
93830,,,
93831,,,
93832,,,
93833,0.0289,-0.0846,0.1209
93834,0.165,0.2216,0.2734
93835,0.0441,0.1855,0.4444
93836,,,
93837,,,
93838,,,
93839,,,
93840,,,
93841,,,
93842,,,
93843,,,
93844,,,
93845,,,
93846,,,
93847,,,
93848,0.1713,0.1996,0.2103
93849,,,
93850,,,
93851,,,
93852,,,
93853,0.813,0.5694,0.5904
93854,0.3412,0.1963,-4.7168
93855,,,
93856,,,
93857,,,
93858,,,
93859,,,
93860,,,
93861,,,
93862,,,
93863,,,
93864,,,
93865,,,
93866,,,
93867,,,
93868,,,
93869,-0.0389,-0.081,0.1137
93870,,,
93871,0.1169,0.0523,0.0633
93872,,,
93873,,,
93874,,,
93875,,,
93876,,-0.6454,2.0108
93877,0.2432,,
93878,,,
93879,,,
93880,,,
93881,-0.1056,-0.1324,1.8
93882,,,
93883,,,
93884,,,
93885,,,
93886,,,
93887,,,
93888,,,
93889,,,
93890,,,
93891,0.0486,2.2691,-0.1914
93892,0.0153,0.001,0.0011
93893,,,
93894,,,
93895,-1.933,-11.767,0.1668
93896,,,
93897,,,
93898,0.0326,0.0635,0.0731
93899,,,
93900,-0.5145,-0.1935,1.5238
93901,,,
93902,-0.5068,-0.3734,-0.4454
93903,,,
93904,,,
93905,,,
93906,,,
93907,,,
93908,,,
93909,,,
93910,,,
93911,,,
93912,,,
93913,,,
93914,,,
93915,,,
93916,,,
93917,,,
93918,,,
93919,,,
93920,0.3563,1.7777,2.6174
93921,0.3602,1.2997,2.9778
93922,0.3821,1.8572,3.1146
93923,,,
93924,,,
93925,,,
93926,,-0.0027,0.0008
93927,,,
93928,,,
93929,,,
93930,,,
93931,,,
93932,,,
93933,,,
93934,,,
93935,,,
93936,,,
93937,0.1304,0.0988,0.6719
93938,,,
93939,,,
93940,,,
93941,,,
93942,,,
93943,0.1467,0.8076,0.9139
93944,0.2324,1.1907,1.3261
93945,0.2858,1.2013,1.2478
93946,,,
93947,,,
93948,,,
93949,,,
93950,,,
93951,,,
93952,,,
93953,,,
93954,,,
93955,,,
93956,0.2302,0.4328,0.4984
93957,,,
93958,,,
93959,0.0288,0.037,-0.0425
93960,,,
93961,,,
93962,,,
93963,,,
93964,0.0296,-0.007,0.0056
93965,,,
93966,,,
93967,,,
93968,,,
93969,,,
93970,,,
93971,,,
93972,,,
93973,,,
93974,0.1081,0.6579,1.1127
93975,0.2333,0.4507,0.5514
93976,,,
93977,,,
93978,,,
93979,,,
93980,,,
93981,,,
93982,,,
93983,,,
93984,0.0804,0.6285,1.5543
93985,,,
93986,0.0282,0.0468,0.1868
93987,,,
93988,,,
93989,,,
93990,,,
93991,0.1967,1.4867,9.4068
93992,,,
93993,,,
93994,,,
93995,,,
93996,,,
93997,0.6975,,
93998,,,
93999,,,
94000,,,
94001,,,
94002,,,
94003,,,
94004,,,
94005,,,
94006,,,
94007,,,
94008,0.5015,0.2799,0.3156
94009,,,
94010,,,
94011,,,
94012,,,
94013,,,
94014,0.044,0.0004,0.0004
94015,,,
94016,,,
94017,,,
94018,,,
94019,,,
94020,0.0025,-0.0072,0.0018
94021,,,
94022,,,
94023,,,
94024,,,
94025,0.1402,0.4169,0.6798
94026,-0.1667,-1.3452,61.7524
94027,,,
94028,,,
94029,,,
94030,,,
94031,,,
94032,,,
94033,,,
94034,0.0473,0.1105,0.9037
94035,0.2254,2.1404,-1.6725
94036,,,
94037,,,
94038,,,
94039,0.0948,0.1044,0.1859
94040,,,
94041,,,
94042,,,
94043,,,
94044,,,
94045,0.0178,-0.0437,0.3558
94046,,,
94047,,,
94048,,,
94049,,,
94050,,,
94051,-0.0027,-0.5692,-0.6554
94052,,,
94053,0.3217,0.3469,0.5182
94054,,,
94055,,,
94056,,,
94057,,,
94058,,-7.1719,2.0176
94059,,,
94060,,,
94061,,,
94062,,,
94063,,,
94064,,-1.8636,0.4158
94065,,,
94066,,,
94067,0.1774,0.0519,0.0928
94068,,,
94069,0.1256,1.9153,-1.4365
94070,,,
94071,,,
94072,,,
94073,,,
94074,,,
94075,,,
94076,,,
94077,0.6089,0.1126,0.1954
94078,,,
94079,,,
94080,,,
94081,,,
94082,,,
94083,0.1349,0.4617,0.8344
94084,-0.5078,-0.1937,0.0472
94085,,,
94086,,,
94087,,,
94088,0.0567,0.2741,1.6052
94089,0.0855,1.0036,1.8301
94090,0.2076,0.699,1.7297
94091,,,
94092,,,
94093,0.1112,0.0007,0.0025
94094,-0.1195,-0.7585,0.6184
94095,,,
94096,,,
94097,,,
94098,0.1304,0.177,-0.2766
94099,,,
94100,,,
94101,,,
94102,,,
94103,0.1802,3.8491,30.6
94104,,,
94105,0.0813,0.4735,2.4194
94106,,,
94107,,,
94108,,,
94109,,,
94110,,,
94111,-0.0987,-1.0749,0.0362
94112,,,
94113,,,
94114,,,
94115,0.6469,0.8411,0.8641
94116,,,
94117,0.5503,1.344,1.6246
94118,,,
94119,,,
94120,,,
94121,,,
94122,,,
94123,,,
94124,,,
94125,,,
94126,,,
94127,,,
94128,,,
94129,,,
94130,,,
94131,,,
94132,,,
94133,,,
94134,,,
94135,,,
94136,,,
94137,,,
94138,,,
94139,,,
94140,,,
94141,,,
94142,,,
94143,,,
94144,,,
94145,,,
94146,,,
94147,,,
94148,,,
94149,,,
94150,,,
94151,,,
94152,0.1326,0.1896,2.42
94153,,,
94154,,,
94155,,,
94156,0.1642,0.6665,1.2784
94157,,,
94158,,,
94159,,,
94160,0.2188,3.841,285.0
94161,,,
94162,,,
94163,,,
94164,0.1204,0.7075,-6.9968
94165,0.2185,0.399,0.6952
94166,,,
94167,,,
94168,,,
94169,,,
94170,,,
94171,,,
94172,,,
94173,0.0348,0.0084,1.6911
94174,,,
94175,,,
94176,,,
94177,0.1222,0.1883,-0.0477
94178,0.2981,0.3719,0.5193
94179,,,
94180,,,
94181,,,
94182,,,
94183,,,
94184,,,
94185,,,
94186,,,
94187,,,
94188,,,
94189,,,
94190,0.9591,0.1695,-0.3085
94191,,,
94192,,,
94193,,,
94194,,,
94195,,,
94196,,,
94197,,-0.0219,0.0125
94198,,,
94199,,,
94200,,,
94201,,,
94202,,,
94203,,,
94204,,,
94205,,,
94206,,,
94207,0.1935,1.7475,-1.0321
94208,,,
94209,,,
94210,,,
94211,,,
94212,,,
94213,,,
94214,,,
94215,,,
94216,-2.1124,-0.3647,2.1572
94217,,,
94218,,,
94219,,,
94220,,,
94221,,,
94222,,,
94223,0.0796,-0.1111,5.3333
94224,,,
94225,,-0.1825,0.1142
94226,,,
94227,,,
94228,0.0733,0.6489,0.7862
94229,,,
94230,0.1613,0.3636,0.4239
94231,,,
94232,,,
94233,,,
94234,,,
94235,,,
94236,,,
94237,,,
94238,,,
94239,,,
94240,,,
94241,,,
94242,-1.0706,0.0001,0.0017
94243,,,
94244,,,
94245,,,
94246,,,
94247,,,
94248,,,
94249,,,
94250,,,
94251,0.0015,-1.0179,4.2222
94252,0.1191,1.0155,1.3059
94253,,,
94254,,,
94255,,,
94256,0.2754,0.1174,0.1894
94257,,,
94258,0.1594,3.2564,-1.1159
94259,,,
94260,0.6311,1.7493,2.0307
94261,0.1159,0.0122,0.0152
94262,,,
94263,,,
94264,,,
94265,,,
94266,,,
94267,,,
94268,,,
94269,,,
94270,0.0832,0.3208,0.4673
94271,,,
94272,,,
94273,,,
94274,0.6881,1.0621,4.2481
94275,,,
94276,,,
94277,,,
94278,,,
94279,,,
94280,,,
94281,,,
94282,,,
94283,,,
94284,,,
94285,,,
94286,,,
94287,,,
94288,,-0.1781,-0.4912
94289,,,
94290,,,
94291,,,
94292,0.494,0.1273,-0.4649
94293,0.2064,0.2628,0.2677
94294,,,
94295,,,
94296,1.0,0.0012,0.2
94297,,,
94298,,,
94299,0.1726,0.6092,1.0083
94300,,,
94301,,,
94302,,,
94303,,,
94304,,,
94305,,,
94306,,,
94307,0.132,0.271,0.3092
94308,,,
94309,,,
94310,,,
94311,,,
94312,,,
94313,,,
94314,0.0619,0.3506,0.5099
94315,,,
94316,,,
94317,,,
94318,,,
94319,,,
94320,,,
94321,,,
94322,,,
94323,,,
94324,,-0.8485,-0.9403
94325,0.153,0.4978,1.2519
94326,0.2535,0.3458,0.3845
94327,0.4367,0.5052,0.6039
94328,,,
94329,0.0325,0.0977,1.2693
94330,,,
94331,,,
94332,,,
94333,0.1762,1.107,2.0078
94334,0.2369,0.4866,4.4343
94335,,,
94336,,,
94337,,,
94338,,,
94339,,,
94340,,,
94341,,,
94342,,,
94343,,,
94344,,,
94345,,,
94346,-0.0133,0.0975,-0.0385
94347,,,
94348,0.3996,0.6314,2.016
94349,,,
94350,,,
94351,,,
94352,,,
94353,,,
94354,0.4141,0.3859,0.4286
94355,,,
94356,,,
94357,,,
94358,0.1789,0.4908,0.7429
94359,0.3837,0.0859,0.1355
94360,,,
94361,,,
94362,,,
94363,,,
94364,,,
94365,,,
94366,,,
94367,,,
94368,,,
94369,,,
94370,,,
94371,0.0293,-0.0041,0.2799
94372,,,
94373,0.1511,1.2996,-0.3094
94374,,,
94375,,,
94376,0.3748,0.917,0.9857
94377,,,
94378,0.2826,1.0638,3.9649
94379,,-0.117,0.0442
94380,,,
94381,,,
94382,0.2034,0.6775,1.0679
94383,,,
94384,,,
94385,,,
94386,,,
94387,,,
94388,,,
94389,,,
94390,,,
94391,0.1076,0.5057,2.0901
94392,,,
94393,,,
94394,,,
94395,,,
94396,,,
94397,,,
94398,,,
94399,,,
94400,-15.3333,-1.6949,2.0
94401,0.0753,0.0003,-0.0002
94402,,,
94403,,,
94404,,,
94405,,,
94406,,,
94407,0.0425,0.0854,0.6375
94408,,,
94409,,,
94410,,,
94411,-0.0346,-0.1616,-0.3375
94412,,,
94413,,,
94414,,,
94415,,,
94416,0.0193,0.1993,0.1993
94417,,,
94418,,,
94419,,,
94420,,,
94421,,,
94422,,,
94423,,,
94424,,,
94425,,,
94426,,,
94427,,,
94428,,,
94429,,,
94430,,,
94431,-12.3913,-15.6432,2.0062
94432,,,
94433,,,
94434,,,
94435,,,
94436,,,
94437,,,
94438,,,
94439,,,
94440,,,
94441,-0.0139,-4.6679,2.3407
94442,,,
94443,,,
94444,0.5351,0.1352,0.1988
94445,0.0179,0.0361,0.0373
94446,,,
94447,0.1585,0.0907,1.322
94448,,,
94449,,,
94450,,,
94451,,,
94452,,,
94453,,,
94454,,,
94455,,,
94456,,-0.9606,-1.9997
94457,,,
94458,,,
94459,,,
94460,,,
94461,0.1955,0.0402,-0.6337
94462,,,
94463,,,
94464,,,
94465,,,
94466,,,
94467,-1.1277,-0.207,0.039
94468,0.6398,0.476,4.5504
94469,,,
94470,,,
94471,0.1496,0.2097,0.2097
94472,,,
94473,0.0518,0.1555,-0.5423
94474,,,
94475,,,
94476,,,
94477,,,
94478,0.0581,0.0497,0.1538
94479,,,
94480,0.0939,5.1481,13.9
94481,0.1121,0.0939,0.1069
94482,-0.3059,0.0124,1.9286
94483,0.389,1.1669,11.6028
94484,,,
94485,,,
94486,,,
94487,,,
94488,,,
94489,,,
94490,,,
94491,,,
94492,,,
94493,,,
94494,,,
94495,,,
94496,0.2749,0.7862,2.404
94497,,,
94498,,,
94499,,,
94500,,,
94501,,,
94502,,,
94503,0.1033,0.3483,0.9216
94504,,,
94505,,,
94506,,,
94507,,,
94508,,,
94509,0.0676,0.3782,-1.0735
94510,,,
94511,,,
94512,,,
94513,,,
94514,,,
94515,0.0335,0.0006,0.0119
94516,,,
94517,,,
94518,,,
94519,,,
94520,,,
94521,,,
94522,,,
94523,,,
94524,,,
94525,,,
94526,,,
94527,,,
94528,,,
94529,,,
94530,,,
94531,,,
94532,,,
94533,,,
94534,,,
94535,,,
94536,,,
94537,,,
94538,,,
94539,0.5797,1.398,-0.6046
94540,,,
94541,,,
94542,,,
94543,,,
94544,,,
94545,,,
94546,,,
94547,0.1098,0.1664,0.2479
94548,,,
94549,,,
94550,0.2229,0.3312,0.4121
94551,-0.1012,0.7965,6.8182
94552,,,
94553,0.1547,0.2068,-0.1426
94554,,,
94555,,,
94556,,,
94557,,,
94558,,,
94559,,,
94560,,,
94561,,,
94562,,,
94563,,,
94564,,,
94565,,,
94566,0.2508,0.0166,0.025
94567,,,
94568,,,
94569,,,
94570,,,
94571,0.1792,0.8347,303.5733
94572,,,
94573,,,
94574,,,
94575,,,
94576,0.0311,0.1601,0.4136
94577,,,
94578,,,
94579,,,
94580,,,
94581,,,
94582,,,
94583,,,
94584,,,
94585,,,
94586,,,
94587,,,
94588,0.2007,0.8509,1.2775
94589,,,
94590,,,
94591,,,
94592,,,
94593,,,
94594,,,
94595,,,
94596,-0.0277,-0.0911,-0.1019
94597,-0.0717,0.027,0.132
94598,,,
94599,,,
94600,,,
94601,0.018,-0.1147,-8.5517
94602,,,
94603,,,
94604,,,
94605,,,
94606,,,
94607,,,
94608,,,
94609,,,
94610,,,
94611,,0.0081,0.08
94612,,,
94613,-0.1575,-3.9423,2.1134
94614,,,
94615,0.0418,0.169,1.1507
94616,,,
94617,,,
94618,0.2616,0.0779,0.1431
94619,,,
94620,,,
94621,0.0389,0.0787,1.2157
94622,0.6232,0.1102,0.6637
94623,,,
94624,,-1.649,-1.9651
94625,,,
94626,0.1259,0.1817,0.392
94627,0.1999,0.5173,0.9056
94628,,,
94629,0.1446,1.2299,1.9997
94630,-0.0133,-0.2876,0.5838
94631,,,
94632,,,
94633,-795.75,-1.087,0.3834
94634,,,
94635,,,
94636,,,
94637,0.0419,0.0002,0.0005
94638,,-0.6284,0.2167
94639,,,
94640,,,
94641,,-12.0,1.0
94642,,,
94643,,,
94644,-0.8369,-0.0665,0.0735
94645,-0.1547,-0.6671,0.9383
94646,,,
94647,,,
94648,,,
94649,,,
94650,,-0.0009,-0.0023
94651,,,
94652,,,
94653,,,
94654,,,
94655,1.0,0.5437,0.6605
94656,,,
94657,,,
94658,,,
94659,-0.0939,-0.0318,-0.032
94660,,,
94661,,,
94662,,,
94663,,,
94664,,,
94665,,,
94666,-0.1641,-1.2178,0.7566
94667,,,
94668,,,
94669,,,
94670,0.2007,0.4287,0.6415
94671,-0.5653,-2.934,1.9765
94672,,,
94673,,,
94674,,,
94675,,,
94676,,,
94677,,,
94678,,,
94679,0.1089,0.0753,0.0874
94680,,,
94681,,,
94682,0.1174,0.403,0.8611
94683,,,
94684,,,
94685,,,
94686,,,
94687,,,
94688,,,
94689,,,
94690,,,
94691,,,
94692,,,
94693,,,
94694,,,
94695,0.0192,-0.0459,-0.0643
94696,,,
94697,0.0107,-0.1826,-0.4501
94698,,,
94699,,,
94700,,,
94701,0.2096,1.9198,1.96
94702,,,
94703,,,
94704,,,
94705,,,
94706,,,
94707,0.3136,0.3342,1.2964
94708,,,
94709,,,
94710,-1.4167,-1.791,10.0
94711,,,
94712,,,
94713,,,
94714,,,
94715,,,
94716,,,
94717,0.0649,0.8017,2.0302
94718,,-44.6667,2.0
94719,,,
94720,,,
94721,,,
94722,0.4458,0.2574,2.7451
94723,,,
94724,,,
94725,-0.0023,-0.7784,-2.009
94726,,,
94727,,,
94728,,,
94729,,,
94730,,,
94731,,,
94732,0.1854,0.0082,0.011
94733,,,
94734,,,
94735,,,
94736,,,
94737,,,
94738,,,
94739,,,
94740,,,
94741,,,
94742,,,
94743,,,
94744,0.0214,-0.0195,-0.2
94745,0.2862,1.1767,-0.8222
94746,,,
94747,,,
94748,,,
94749,,,
94750,-4.9461,-1.0637,2.0081
94751,,,
94752,-0.3661,-0.4707,0.3476
94753,,,
94754,,,
94755,,,
94756,,-0.2475,3.7361
94757,,,
94758,,,
94759,,,
94760,,,
94761,,,
94762,,,
94763,0.0179,0.0178,0.0348
94764,,,
94765,,-8.4505,0.4291
94766,,,
94767,,,
94768,,,
94769,,,
94770,,,
94771,,,
94772,0.0523,0.003,0.0083
94773,,,
94774,0.0651,1.7345,-7.0
94775,,,
94776,,,
94777,,,
94778,,-1.875,-6.0
94779,,,
94780,,,
94781,,,
94782,0.498,0.0577,0.1285
94783,,,
94784,,,
94785,,,
94786,,,
94787,-0.105,-0.6875,-0.9851
94788,,,
94789,0.4204,0.392,0.4803
94790,,,
94791,,,
94792,0.15,0.3087,-0.0914
94793,,,
94794,0.1753,0.719,0.9479
94795,,,
94796,,,
94797,0.3328,-0.0066,-0.0092
94798,,,
94799,,,
94800,,,
94801,-1.2256,-0.6126,0.7967
94802,,,
94803,,,
94804,0.9755,2.3395,2.4385
94805,,,
94806,,,
94807,,,
94808,,,
94809,,,
94810,,,
94811,,,
94812,,,
94813,0.0591,0.425,0.435
94814,,-1.5556,-1.5556
94815,,,
94816,,,
94817,,,
94818,,,
94819,,,
94820,,,
94821,,,
94822,,,
94823,,,
94824,,,
94825,,,
94826,,,
94827,0.0154,0.0048,0.0146
94828,0.1467,0.0531,0.1577
94829,,,
94830,,,
94831,0.1475,0.0007,0.0008
94832,,,
94833,,,
94834,,,
94835,,,
94836,,,
94837,,,
94838,,,
94839,,,
94840,,,
94841,-0.1671,0.0029,0.5897
94842,-0.2574,-0.6813,-1.8095
94843,,,
94844,0.1917,0.3385,0.3749
94845,,,
94846,,,
94847,,,
94848,,,
94849,,,
94850,,,
94851,,,
94852,,,
94853,0.1077,1.4386,2.1596
94854,,,
94855,,,
94856,,,
94857,,-0.0107,-0.2727
94858,,,
94859,,,
94860,0.2069,0.1832,0.1932
94861,,,
94862,,,
94863,,,
94864,0.4922,0.4943,1.5311
94865,-0.2545,-6.0,3.8182
94866,,,
94867,,,
94868,,,
94869,,,
94870,0.1169,0.3938,1.066
94871,0.3118,0.9211,1.0665
94872,,,
94873,,,
94874,,,
94875,-0.8131,-0.024,1.5031
94876,,,
94877,,,
94878,,,
94879,,,
94880,0.1818,0.6835,1.9905
94881,,,
94882,-0.0825,-0.8769,0.3021
94883,,,
94884,,,
94885,,,
94886,,,
94887,,,
94888,,,
94889,,,
94890,0.0427,0.58,1.8221
94891,,,
94892,,,
94893,,,
94894,,,
94895,,,
94896,,,
94897,,,
94898,0.0367,0.1044,0.2526
94899,0.21,0.6586,0.7113
94900,,,
94901,,,
94902,0.0198,0.1393,0.48
94903,,,
94904,,,
94905,0.2888,0.6667,0.6667
94906,,,
94907,,,
94908,,,
94909,,,
94910,,,
94911,,,
94912,,,
94913,,,
94914,,,
94915,0.766,0.6908,0.7065
94916,0.1778,0.0147,0.0214
94917,0.2234,1.0726,4.0362
94918,,,
94919,,,
94920,,,
94921,,,
94922,0.0058,1.0733,1.9875
94923,,-1.1454,1.538
94924,,,
94925,,,
94926,,,
94927,,,
94928,,,
94929,0.1444,1.0399,1.8298
94930,0.0405,0.0766,-0.4475
94931,,,
94932,,,
94933,,-0.0261,0.0111
94934,,,
94935,,,
94936,,,
94937,,,
94938,,,
94939,0.1792,0.2573,0.3439
94940,,,
94941,,,
94942,,,
94943,,,
94944,,,
94945,,,
94946,-0.0154,-0.5927,0.0377
94947,,,
94948,,,
94949,,,
94950,,,
94951,,,
94952,,,
94953,,,
94954,,,
94955,,,
94956,,,
94957,,,
94958,,,
94959,0.0493,0.0005,0.0005
94960,,,
94961,,1.0,2.0
94962,,,
94963,0.0162,0.034,0.0701
94964,,-0.0432,-0.053
94965,,,
94966,,,
94967,0.3959,0.299,0.7372
94968,,,
94969,,,
94970,0.0034,-0.2362,-2.0667
94971,,,
94972,,,
94973,,,
94974,,,
94975,,,
94976,,,
94977,,,
94978,0.6525,0.2566,0.5667
94979,,,
94980,,,
94981,0.0056,-0.1568,0.2277
94982,,,
94983,,,
94984,,,
94985,0.2013,4.0488,-1.8971
94986,,,
94987,,,
94988,,,
94989,0.0288,0.0658,0.0759
94990,,,
94991,,-0.0335,-0.034
94992,,-0.4912,0.2506
94993,,,
94994,,,
94995,,,
94996,,,
94997,,,
94998,,,
94999,,-23.4815,2.0032
95000,,,
95001,,-4.0495,0.9678
95002,0.0411,0.0066,-0.0292
95003,,,
95004,,,
95005,0.1573,0.3515,0.5349
95006,0.1358,0.9617,0.9617
95007,,,
95008,-0.0364,-0.0653,-0.3074
95009,,,
95010,,,
95011,,,
95012,,,
95013,0.4714,0.1115,0.1141
95014,,,
95015,,,
95016,,,
95017,,-0.0735,-0.4958
95018,,,
95019,,,
95020,,,
95021,0.0942,0.0299,7.5026
95022,,,
95023,,,
95024,,,
95025,0.3156,-0.2847,0.1491
95026,0.0803,-0.0222,-0.1128
95027,,,
95028,,,
95029,,,
95030,,,
95031,,,
95032,,,
95033,,,
95034,,,
95035,,-0.4954,-0.5146
95036,,,
95037,0.0795,0.7883,1.994
95038,,,
95039,-0.4858,-0.0925,-0.0925
95040,,,
95041,,,
95042,,,
95043,,,
95044,0.1414,0.1437,-0.7194
95045,0.1875,0.4326,0.5035
95046,,,
95047,0.1406,0.0904,0.1512
95048,,,
95049,0.3285,0.4986,0.564
95050,0.472,0.0187,0.0513
95051,,,
95052,,,
95053,,,
95054,,,
95055,-0.3715,0.0007,0.0012
95056,,,
95057,,,
95058,,,
95059,0.9886,0.1305,2.9445
95060,,,
95061,,,
95062,,,
95063,,,
95064,,,
95065,,,
95066,,,
95067,,,
95068,,,
95069,0.0243,0.0003,0.0011
95070,,,
95071,-0.0718,-0.6716,-1.3312
95072,,,
95073,,,
95074,,,
95075,,,
95076,,,
95077,,,
95078,,,
95079,,,
95080,,,
95081,,,
95082,,,
95083,,,
95084,,,
95085,,,
95086,,,
95087,,,
95088,0.157,0.9893,1.4318
95089,,,
95090,,,
95091,,,
95092,,,
95093,,,
95094,,,
95095,,,
95096,,,
95097,,,
95098,,,
95099,,,
95100,,,
95101,,,
95102,,,
95103,,,
95104,,,
95105,,,
95106,,,
95107,,,
95108,,,
95109,,,
95110,,,
95111,,,
95112,,,
95113,0.153,0.5876,-0.2349
95114,0.1139,0.2306,0.2669
95115,,-0.0059,0.0752
95116,,,
95117,,,
95118,,,
95119,,,
95120,,,
95121,,,
95122,,11.5898,-1.521
95123,,,
95124,,,
95125,,,
95126,,,
95127,,,
95128,,,
95129,,,
95130,,,
95131,0.1939,0.7628,1.0875
95132,,,
95133,,,
95134,,,
95135,,,
95136,,,
95137,,,
95138,,,
95139,,,
95140,0.2533,0.1744,0.1757
95141,0.0202,0.0184,0.0558
95142,0.0173,0.0406,0.301
95143,,0.0099,0.0119
95144,0.0488,0.0152,0.0161
95145,0.3765,0.1102,0.1279
95146,-0.0326,-0.6802,-1.781
95147,,,
95148,0.101,0.0188,0.0489
95149,,,
95150,,,
95151,,,
95152,,,
95153,0.0816,1.4392,-0.4851
95154,0.6881,0.5354,-0.7119
95155,,,
95156,0.2545,0.1129,0.1656
95157,0.1623,1.7663,1.9836
95158,,,
95159,,,
95160,,,
95161,,,
95162,,,
95163,,,
95164,,,
95165,,,
95166,0.2169,0.5629,1.3977
95167,,,
95168,0.2709,0.8813,1.0525
95169,,,
95170,,,
95171,,,
95172,,,
95173,,,
95174,-4.0984,-0.1413,-0.1428
95175,,,
95176,,,
95177,,,
95178,,,
95179,,,
95180,,,
95181,,,
95182,,,
95183,,,
95184,,,
95185,,,
95186,,,
95187,,,
95188,,,
95189,,,
95190,,,
95191,,,
