,Период погашения кредиторской задолженности,Период оборота запасов,Период погашения дебиторской задолженности,Период оборота основных средств,Период оборота активов
487,,,,,
488,41.06,1383.2,1314.0,878.9,4711.0
489,,,,,
490,,,,,
491,,,,,
492,,,,,
493,,,,,
494,,,,,
495,,,,,
496,94.58,10.8,41.0,,92.0
497,,,,,
498,5.07,4.3,1.0,,15.0
499,,,,,
500,,,,,
501,,,,,
502,,,,,
503,,,,,
504,,,,,
505,,,,,
506,,,,,
507,,,,,
508,39.39,0.4,23.0,,40.0
509,,,,,
510,,,,,
511,,,,,
512,20.88,,,,
513,,,,,
514,,,,,
515,1255.13,23.5,1206.0,,1238.0
516,,,,,
517,,,,,
518,,,,,
519,,,,,
520,,,,,
521,,,,,
522,815.28,65.0,739.0,10.8,825.0
523,,,,,
524,,,,,
525,,,,,
526,,,,,
527,,,,,
528,,,,,
529,292.59,140.5,175.0,56.7,375.0
530,331.16,156.3,137.0,,311.0
531,,,,,
532,,,,,
533,,,,,
534,,,,,
535,,,,,
536,59.56,38.1,40.0,12.5,94.0
537,,,,,
538,,,,,
539,,,,,
540,,,,,
541,,,,,
542,,,,,
543,45.31,,24.0,,30.0
544,723.32,183.1,499.0,13.0,719.0
545,,,,,
546,,,,,
547,43.55,0.2,19.0,,54.0
548,,,,,
549,,,,,
550,,,,,
551,684.62,206.1,317.0,22.4,624.0
552,,,,,
553,,,,,
554,1091.73,101.5,192.0,1076.3,1534.0
555,,,,,
556,21.54,17.7,52.0,20.2,90.0
557,,,,,
558,,,,,
559,,,,,
560,124.86,5.8,82.0,22.9,124.0
561,,,,,
562,,,,,
563,,,,,
564,351.08,273.7,184.0,10.8,471.0
565,,,,,
566,,,,,
567,,,,,
568,,,,,
569,,,,,
570,,,,,
571,,,,,
572,77.18,11.1,47.0,6.6,93.0
573,268.67,7.8,10.0,,268.0
574,,,,,
575,,,,,
576,,,,,
577,,,,,
578,,,,,
579,58.37,82.0,12.0,3.6,109.0
580,,,,,
581,,,,,
582,,,,,
583,,,,,
584,250.35,85.4,153.0,,247.0
585,,,,,
586,,,,,
587,,,,,
588,88.98,11.2,78.0,6.9,121.0
589,,,,,
590,,,,,
591,,,,,
592,,,,,
593,,,,,
594,7.6,,,,
595,3055.1,2566.1,6419.0,,8987.0
596,465.03,109.8,329.0,10.0,457.0
597,,,,,
598,,,,,
599,,,,,
600,,,,,
601,,,,,
602,,,,,
603,,,,,
604,,,,,
605,7446.34,120.1,6738.0,,6873.0
606,,,,,
607,20.81,,19.0,,25.0
608,27.35,17.4,4.0,,26.0
609,,,,,
610,,,,,
611,,,,,
612,,,,,
613,,,,,
614,24.86,3.4,15.0,,27.0
615,,,,,
616,,,,,
617,,,,,
618,,,,,
619,,,,,
620,,,,,
621,205.14,20.6,192.0,8.7,240.0
622,,,,,
623,,,,,
624,,,,,
625,,,,,
626,420.36,63.3,288.0,,405.0
627,,,,,
628,,,,,
629,,,,,
630,218.08,17.5,192.0,,226.0
631,,,,,
632,,,,,
633,198.44,8.9,153.0,1.2,205.0
634,,,,,
635,,,,,
636,768.48,3.9,560.0,,564.0
637,,,,,
638,,,,,
639,,,,,
640,4.34,,182.0,,192.0
641,,,,,
642,404.39,42.4,135.0,,200.0
643,,,,,
644,,,,,
645,,,,,
646,,,,,
647,,,,,
648,,,,,
649,,,,,
650,,,,,
651,236.67,30.4,199.0,13.4,247.0
652,,,,,
653,,,,,
654,0.99,,,,
655,,,,,
656,,,,,
657,375.84,17.8,890.0,,910.0
658,,,,,
659,,,,,
660,,,,,
661,,,,,
662,,,,,
663,,,,,
664,,,,,
665,929.09,,,,
666,,,,,
667,42.67,,188.0,2.9,192.0
668,,,,,
669,7597.51,551.7,373.0,7.7,935.0
670,,,,,
671,,,,,
672,,,,,
673,,,,,
674,,,,,
675,,,,,
676,,,,,
677,190.75,94.6,92.0,2.4,193.0
678,,,,,
679,,,,,
680,,,,,
681,,,,,
682,,,,,
683,2449.07,1718.4,4566.0,2226.9,8815.0
684,,,,,
685,,,,,
686,,,,,
687,,,,,
688,,,,,
689,45.16,9.8,17.0,17.5,62.0
690,,,,,
691,,,,,
692,,,,,
693,,,,,
694,,,,,
695,,,,,
696,207.4,,,,
697,,,,,
698,412.43,85.5,259.0,,399.0
699,,,,,
