,Доходы,Расходы,Расходы,Валовая прибыль (убыток),Коммерческие расходы,Управленческие расходы,Прибыль (убыток) от продажи,Чистая прибыль (убыток)
534,,,,,,,,
535,,,,,,,,
536,,,,,,,243000.0,49000.0
537,,,,,,,,
538,,,,,,,,
539,,,,,,,,
540,,,,,,,,
541,,,,,,,,-5000.0
542,,,,,,,,
543,,,,12000.0,,,12000.0,-40000.0
544,,,,,,,1184000.0,722000.0
545,,,,,,,,
546,,,,,,,,-1000.0
547,,,,,,,-557000.0,-584000.0
548,,,,,,,,
549,,,,,,,,
550,,,,,,,,
551,,,,,,,645000.0,538000.0
552,,,,,,,,
553,,,,,,,,
554,,,,,,,-2300000.0,-1726000.0
555,,,,,,,,
556,,,,,,,-354000.0,38000.0
557,,,,,,,,
558,,,,,,,,
559,,,,,,,,
560,,,,4747000.0,,3161000.0,1586000.0,979000.0
561,,,,,,,,
562,,,,,,,,
563,,,,,,,,
564,,,,,,,-14445000.0,1149000.0
565,,,,,,,,
566,,,,,,,,
567,,,,,,,,
568,,,,,,,,
569,,,,,,,,
570,,,,,,,,
571,,,,,,,,
572,,,,,,,632000.0,7000.0
573,,,,691000.0,,,691000.0,533000.0
574,,,,,,,,
575,,,,,,,,
576,,,,,,,,
577,,,,,,,,
578,,,,,,,,
579,,,,,,,-865000.0,-1041000.0
580,,,,,,,,
581,,,,,,,,
582,,,,,,,,
583,,,,,,,,
584,,,,,,,905000.0,8000.0
585,,,,,,,,
586,,,,,,,,
587,,,,,,,,
588,,,,,,,173000.0,138000.0
589,,,,,,,,
590,,,,,,,,
591,,,,,,,,
592,,,,,,,,
593,,,,,,,,
594,,,,,,,-120000.0,-159000.0
595,,,,,,,-55000.0,-57000.0
596,,,,,,,879000.0,477000.0
597,,,,,,,,
598,,,,,,,,
599,,,,,,,,
600,,,,,,,,
601,,,,,,,,
602,,,,,,,,
603,,,,,,,,
604,,,,,,,,
605,,,,94000.0,11000.0,35000.0,48000.0,47000.0
606,,,,,,,,
607,,,,,,,236000.0,79000.0
608,,,,,,,1143000.0,2000.0
609,,,,,,,,
610,,,,,,,,
611,,,,,,,,
612,,,,,,,,
613,,,,,,,,
614,,,,58000.0,,,58000.0,22000.0
615,,,,,,,,
616,,,,,,,,
617,,,,,,,,
618,,,,,,,,
619,,,,,,,,
620,,,,,,,,
621,,,,,,,1952000.0,1647000.0
622,,,,,,,,
623,,,,,,,,
624,,,,,,,,
625,,,,,,,,
626,,,,1105000.0,,634000.0,471000.0,122000.0
627,,,,,,,,
628,,,,,,,,
629,,,,,,,,
630,,,,,,,-103000.0,288000.0
631,,,,,,,,
632,,,,,,,,
633,,,,15984000.0,,3905000.0,12079000.0,11068000.0
634,,,,,,,,
635,,,,,,,,
636,,,,,,,399000.0,275000.0
637,,,,,,,,
638,,,,,,,,
639,,,,,,,,
640,,,,,,,40000.0,22000.0
641,,,,,,,,
642,,,,,,,277000.0,-1058000.0
643,,,,,,,,
644,,,,,,,,
645,,,,,,,,
646,,,,,,,,
647,,,,,,,,
648,,,,,,,,
649,,,,,,,,
650,,,,,,,,
651,,,,,,,1192000.0,551000.0
652,,,,,,,,
653,,,,,,,,
654,,,,,,,1124000.0,-78000.0
655,,,,,,,,
656,,,,,,,,
657,,,,,,,196000.0,67000.0
658,,,,,,,,
659,,,,,,,,
660,,,,,,,,
661,,,,,,,,
662,,,,,,,,
663,,,,,,,,
664,,,,,,,,
665,,,,,,,-33000.0,-46000.0
666,,,,,,,,
667,,,,,,,22087000.0,18952000.0
668,,,,,,,,
669,,,,8341000.0,,7449000.0,892000.0,279000.0
670,,,,,,,,
671,,,,,,,,
672,,,,,,,,
673,,,,,,,,
674,,,,,,,,
675,,,,,,,,
676,,,,,,,,
677,,,,,,,3826000.0,4855000.0
678,,,,,,,,
679,,,,,,,,
680,,,,,,,,
681,,,,,,,,
682,,,,,,,,
683,,,,,,,-767000.0,-1844000.0
684,,,,,,,,
685,,,,,,,,
686,,,,,,,,
687,,,,,,,,
688,,,,,,,,
689,,,,147809000.0,,52368000.0,95441000.0,70234000.0
690,,,,,,,,
691,,,,,,,,
692,,,,,,,,
693,,,,,,,,
694,,,,,,,,
695,,,,,,,,
696,,,,,,,-447000.0,-466000.0
697,,,,,,,,
698,,,,141000.0,,103000.0,38000.0,-22000.0
699,,,,,,,,
700,,,,,,,15000.0,9000.0
701,,,,,,,,
702,,,,,,,,
703,,,,,,,,
704,,,,,,,,
705,,,,,,,,
706,,,,,,,,
707,,,,,,,,
708,,,,,,,,
709,,,,,,,,
710,,,,,,,,
711,,,,,,,,
712,,,,,,,,
713,,,,,,,,
714,,,,,,,,
715,,,,,,,,
716,,,,,,,,
717,,,,,,,,
718,,,,,,,,
719,,,,,,,,
720,,,,,,,,
721,,,,,,,,
722,,,,690000.0,61000.0,397000.0,232000.0,147000.0
723,,,,,,,,
724,,,,,,,,
725,,,,,,,1282000.0,1007000.0
726,,,,,,,409000.0,474000.0
727,,,,,,,,
