,Коэффициент текущей ликвидности,Коэффициент быстрой ликвидности,Коэффициент абсолютной ликвидности
891,,,
892,,,
893,,,
894,0.5609,0.3964,0.0059
895,,,
896,,,
897,,,
898,,,
899,,,
900,,,
901,2.1475,2.0459,0.0042
902,,,
903,1.292,0.402,0.2418
904,,,
905,,,
906,,,
907,,,
908,0.2222,0.2222,
909,,,
910,,,
911,,,
912,,,
913,,,
914,,,
915,,,
916,,,
917,,,
918,,,
919,1.2162,1.2017,0.1146
920,,,
921,,,
922,,,
923,,,
924,,,
925,,,
926,,,
927,,,
928,,,
929,,,
930,,,
931,1.4742,1.4742,0.0043
932,,,
933,,,
934,192.0,159.5,31.75
935,1.0433,0.3318,0.0118
936,,,
937,,,
938,,,
939,,,
940,,,
941,,,
942,13.6087,13.6087,10.0
943,,,
944,,,
945,,,
946,,,
947,,,
948,,,
949,,,
950,,,
951,,,
952,,,
953,,,
954,,,
955,,,
956,,,
957,,,
958,,,
959,,,
960,,,
961,,,
962,,,
963,,,
964,,,
965,,,
966,1.1202,0.804,0.1337
967,1.0709,1.0709,0.0166
968,,,
969,2.1052,1.9601,0.0271
970,1.1202,0.7876,0.0115
971,,,
972,,,
973,,,
974,,,
975,,,
976,1.0226,0.8853,
977,,,
978,7.5325,7.5195,6.8701
979,0.8963,0.8963,0.1624
980,161.125,161.125,159.25
981,1.0358,0.9425,0.6267
982,,,
983,,,
984,12.0789,4.8158,1.2632
985,,,
986,,,
987,,,
988,,,
989,,,
990,,,
991,,,
992,,,
993,,,
994,,,
995,,,
996,,,
997,,,
998,,,
999,0.8995,0.8995,
1000,,,
1001,,,
1002,,,
1003,3.0182,2.8643,0.0146
1004,0.7748,0.5431,0.1006
1005,,,
1006,,,
1007,4.6,4.6,3.0533
1008,,,
1009,,,
1010,,,
1011,,,
1012,,,
1013,,,
1014,,,
1015,,,
1016,,,
1017,0.0725,0.0725,0.0725
1018,,,
1019,,,
1020,0.2517,0.2517,0.2138
1021,,,
1022,,,
1023,,,
1024,4.0845,1.4707,0.6707
1025,,,
